Sl No,stars_review,text,date,name,categories,city,state,stars_business,review_count,rating_review
462,4,If you like onion rings order them here. Some of the best I have ever have. I also had a Reuben which was very good also.,28-01-17 1:31,Chatham Tap Fishers,"Restaurants, Food, Beer, Wine & Spirits, Nightlife, British, American (Traditional), American (New), Chicken Wings, Bars, Pubs",Fishers,IN,3.5,262,Positive
463,1,"Hubby and I were eager to try this establishment due to a rave review from some close friends. We decided for our date night we would give it a try on Saturday. We pulled up about 8pm and the open sign was turned off. We thought maybe the light was burnt out or someone just forgot to plug it in. So we proceeded to the door. There were people inside and the sign said open till 11pm, so we walked inside. It was like walking into the Twlight Zone, everyone stopped and stared at us. The woman behind the bar came over and told us they were closed. HUH! Ok.... so we left. It was very akward and unpleasant. If they were closed then the door should of been locked or a sign on the door stating private party or something. 
Not sure if we will attempt to try to dine there again.",27-01-13 20:52,Arber Cafè,"Cafes, Ethnic Food, Specialty Food, Italian, Desserts, Food, Restaurants, Coffee & Tea, Mediterranean",Saint Louis,MO,4.5,18,Negative
464,5,Awesome food! It was so fresh and delicious. The papaya salad was delicious! Try the curry..simply spicy and beautiful. The service was great too! They have take out!!!,31-05-16 18:09,Saigon Restaurant,"Restaurants, Food, Vietnamese",Indianapolis,IN,4,421,Positive
465,3,"The beef noodles was a bit too salty and the fried rice was a bit oily. But overall they are good. We liked the shrimp spring rolls a lot. It is one of the best we have tried. 

The place could have earned higher points. But I have to give it a three stars because of the chaotic seating arrangement. The owner gave tables to people behind us despite we reminded the him and the staff. Perhaps that is what you get when you go to a teeny tiny Chinese restaurant during a long weekend.",21-02-13 20:40,101 Taiwanese Cuisine,"Food, Restaurants, Chinese, Bubble Tea, Taiwanese",Reno,NV,4,1145,Neutral
466,5,"Great community vibe... i've run into friends and struck up conversation with new ones each time i've been in.  Its nice to have new hang within walking distance of my house.  I've stuck to the classic burger and love it... everything from the buns to the ketchup is made in-house and has unique taste. The bar had pretty much whatever i wanted... last night the bartenders made some homespun watermelon concoction.

To touch on some other reviews... i understand everyone has a different experience, but to say the place is 'too hipster' seems like someones still jaded from feeling left out in high school...  and personally attacking the owner is tasteless and has no place in a review.  We should be glad we don't all have someone looking over our shoulder attacking our motives. I like what Burger Up is trying to do and i like that they hired a bunch of folks representative of our Nashville community... if you need a non-musician wait staff who dresses just like you and takes you to prom, you're probably in the wrong town.",14-05-10 19:57,Burger Up,"Restaurants, American (New), Sandwiches, Burgers",Nashville,TN,4,857,Positive
467,5,"I am not an indian food type of person but this place lives up to the hype. When you go, just let Hassan make something for you, don't try and overwhelm yourself with the different options. Make sure to get a chaat and a lassi as the two really complement one another.",07-05-13 19:25,Mood Cafe,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",Philadelphia,PA,4.5,458,Positive
468,4,"Excellent food, good service, great location. 

My wife had shrimp and grits, I had the barbecued shrimp -- both were outstanding. The appetizers were good. The bread pudding was a tad dry in the city that is supposed to be the mother lode of bread pudding. 

Mr. B came close to snagging the fifth star but the service could have been more attentive and the place is freezing - - in July in New Orleans. Wear long sleeves or bring a jacket.",03-08-09 23:14,Mr. B's Bistro,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife",New Orleans,LA,4,2064,Positive
469,5,"Wow. We visited NOLA last week and took the truly awesome and informative  Steamboat Natchez trip on March 30. Can't tell you how interesting it was and pleasant. Plus these people are so well-organized and nice. JoJo reserved us a window seat - just could not believe the kind and excellent service. 
Very very nice.  Recommend!!!!",07-04-17 21:26,Steamboat Natchez,"Boat Charters, Event Planning & Services, Hotels & Travel, Boat Tours, Restaurants, Active Life, Tours, Boating",New Orleans,LA,3.5,780,Positive
470,3,"We had a mixed experience at Mr. B's.  We started at the bar for drinks and a starter due to table wait. Bar was nice for a busy night. Our table was ready early so the bar staff transferred our starter to the table and things went down hill quickly. Starters were delivered and then we were ignored for over 45 minutes. No drinks, water etc. Finally a waiter in another section took out order. We ordered BBQ shrimp (best thing on our table), rabbit and wood plank grilled fish. Fish was a very small piece and not worth the $$$. Rabbit was good! Hit and miss service ruined the experience.",09-01-11 0:26,Mr. B's Bistro,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife",New Orleans,LA,4,2064,Neutral
471,5,"This place is so cute. The interior is adorable and casual. There's some small booths and chairs and tables for hanging out and enjoying your food/drinks. It's all so clean, too, which is a huge plus.
There's a little section with baked goods, some Asian and some more American. They have mostly Vietnamese food, but I also saw some other types of food (e.g bulgogi).
I came in with two friends and the woman who helped us was really personable and friendly. We ordered banh mi and boba tea, and sat down waiting for our food to be brought to us. The banh mi was really yummy, especially the bread. I had boba milk tea, which was as good as any milk tea I've had before. 
They have a drink card which you can get stamped to receive a free tenth drink. Definitely an incentive to return. Also, their hours are awesome, which is a huge plus.",30-03-12 4:23,Seasons Cafe & Bakery,"Food, Bakeries, Asian Fusion, Vietnamese, Restaurants, Specialty Food, Delis, Sandwiches, Bubble Tea, Soup",Pinellas Park,FL,4,292,Positive
472,5,"This is the best Italian food I've ever had. Very small elegant restaurant, entrees were really good and very tasty cheesecake. To top it off, the entire staff was super friendly. Highly recommended for date night.",20-12-15 23:52,La Tavola Ristorante Italiano,"Food, Pizza, Event Planning & Services, Italian, Caterers, Restaurants",Smyrna,TN,4,191,Positive
473,4,"This is my favourite place to get fish tacos! It's all I ever order, along with the occasional queso or beans which are also delicious. My friend was visiting from out of town and he ordered the beef taco and chicken fajitas and thought they were pretty average. However, he agreed that the fish tacos were amazing. Since 2 full me up and they're only like $2.60 each it's a pretty happy visit all round for me! Plus the interior and patio are awesome
(And there's Ben and Jerry's right next door for dessert)",31-05-16 4:49,San Antonio Taco Co,"Tex-Mex, Event Planning & Services, Caterers, Restaurants, Mexican",Nashville,TN,3.5,386,Positive
474,4,"Stopped here last week while in the area from Burbank. Had read about it on Trip Advisor. It is in a great location, quiet, peaceful and cool under the shade of the big old trees. For its location and it being noon on a Thursday we were surprised to find there was literally only one table open when we walked in. Food is served pretty quick though so it didn't seem anyone was really waiting. 
Based on reviews we had read, my hubby had the tri-tip sandwich. I ordered the buffalo burger. I have to say that was one of the best burgers I have ever had in my life. As usual, we traded tastes of our orders. My hubby was so jealous of my buffalo burger and I heard about it several more times throughout the day, that he should've got the burger. The tri-tip was quite dry, and it was literally just the meat on bread, big bread.  The horseradish sauce (served on the side) was very tasty though.
For the tri-tip, I give a 3, hubby gives a 4. We both give the buffalo burger a definite 5++.

Either way, worth checking out if you want something with a unique atmosphere and that is away from town but not a long drive. Very peaceful.",28-07-14 0:23,Cold Spring Tavern,"American (Traditional), Restaurants, Bars, Nightlife",Santa Barbara,CA,4.5,1018,Positive
475,3,"I have frequented the Mad Mex, University City location for years.  I was pleased to see this new location which is closer to my home and I don't have to deal with the obnoxious students.  I have been here for Happy Hour and just for dinner at another time.  It has been busy both times and it seems that the staff need to be trained a little more in chaos and crowd management.  The best deals are during Happy Hour - the $3, $5 & $7 Margarita's.  I also believe wings are 1/2 off.  My friends seemed to enjoy their orders of Burritos, Gaucamole and enchiladas.  

The food is average and for the price of drinks - it would be a great place to hang if the service improves.",27-10-14 1:49,Mad Mex - Wynnewood,"Food, Nightlife, Mexican, Restaurants, Tex-Mex, Bars",Wynnewood,PA,2.5,248,Neutral
476,1,"Really disappointed. I've been to the Marathon at 18/Spruce and had excellent service, drinks and food. Thought that would transfer to this location - not at all.

To sum it up, our server was extremely energetic, but not in a good way. More like a frantic energy. I was there to enjoy a few drinks and dinner with a friend who was visiting (AKA looking to spend money AKA you will get a larger tip if you let us stay longer) and we were rushed out. Server brought boxes for food we were still eating, without asking if we wanted them. A few minutes later he physically put the food in the boxes at the tableside while mumbling something like ""I don't like food sitting on the table."" .....we didn't even want to take it home. Next, when we said we were having another friend join for another round or two of drinks he told us we couldn't stay at the booth we were at and we needed to go to the bar. What? I point blank asked him if he was kicking us out of the booth and he said ""yes!"" energetically. There was no one waiting for tables and there were numerous open tables/booths around the restaurant. I felt extremely uncomfortable and wanted to leave immediately. Our friend joined after all this happened, and when the server came over to ask if they wanted a drink, he seemed surprised when we told him we were just going to leave. YOU LITERALLY just told us we couldn't sit at this table any longer!! We then left.

I worked in restaurants for a long time and I'm pretty easy to please when it comes to restaurant service. I was not pleased at all during this visit.

On another note, the food was not that great.",17-01-16 5:29,Marathon,"Sandwiches, American (New), Lounges, Nightlife, Bars, Restaurants, Breakfast & Brunch",Philadelphia,PA,3.5,593,Negative
477,2,"We arrived for lunch at 12p on a Friday - wasn't busy at all. It took FOREVER to get anything. We were really pleasant and kind but we had to complain several times to get any beverages that we ordered. It took them 40 minutes to let us know that a beer we ordered was no longer available. The food was great, but not worth the lengthy wait and slow service.",27-04-18 19:33,Butcher & Bee,"Middle Eastern, American (New), Restaurants, Mediterranean, Southern",Nashville,TN,4,863,Negative
478,4,"Walked by this place and decided to check it out. Great beer and burger place, made even better knowing many things were organic. You can order from the menu, or create your own burger. They also have rotating beers and specials. Nice atmosphere and staff. Burgers don't come with anything, so order from the sides if you want some fries. (There's also sandwiches and salads if you don't want a burger) Vegetarian friendly.",04-12-16 3:22,Bareburger - Midtown Village,"Restaurants, Burgers, American (New), Food, American (Traditional), Nightlife, Bars, Cocktail Bars, Salad",Philadelphia,PA,4,622,Positive
479,1,"First time I went to Earl's new American kitchen I liked the food it was good wasn't great but it was a ok 
 service not so great sat at the bar did not really care for a bartender tried it again second time bartender was really rude I would never go back there  or Recommend it to anyone",26-06-18 18:38,Earl's New American,"Nightlife, American (New), Bars, Seafood, Restaurants, Wine Bars, Cocktail Bars",New Hope,PA,3.5,135,Negative
480,3,"I visited Jake's for the first time after learning that the small diner I used to go to in Delaware as a kid had become a franchise. I was so excited to experience the delicious burgers and fries that I craved as a kid.

I walked into the establishment and was frankly unimpressed by the ambiance. The restaurant was moderately clean and very open. The menu actually reminded my of a Five Guys. You get to choose your own toppings (all free) to put on 1, 2, or 3 patties.

I ordered the regular cheeseburger with a ton of toppings and a regular size french fry to share with my boyfriend. The burgers were delicious. The bread was soft and tasty and the burgers were succulent and juicy. The fries were disappointing. McDonalds fries taste better and usually aren't even as cold as Jake's were.

Man oh man, Jake's. I'll go back for the burgers, maybe, but I definitely will stick to the original location for a better experience.",02-01-13 15:47,Jake's Wayback Burgers,"Burgers, Restaurants",Willow Grove,PA,3,30,Neutral
481,5,I ordered the Pulled Pork Nachos.  They were delicious!  Instead of tortilla chips they are served with potato chips...perfect to share with a Beer or Bloody Mary,17-12-14 17:33,Edley's Bar-B-Que - 12 South,"Barbeque, Restaurants, Dive Bars, Cocktail Bars, Southern, Nightlife, Bars",Nashville,TN,4,1114,Positive
482,4,"I've been to Mirna's about four times over the past few years and never been disappointed. The portions are HUGE, especially for the modest price tag. Do yourself a favor and get a pasta dish, I can assure you that you'll be glad you did. I've had fish there too, which wasn't bad by any means, but the pasta plates are definitely their specialty. A couple of the times I've been there they treated us to free hummus and pita, which is always a plus. BYOB!

Only knock on the place is that it's pretty small, so make sure to call ahead to reserve a table or check for a wait.",29-02-12 23:50,Mirna's,"Restaurants, Mediterranean",Jenkintown,PA,3.5,26,Positive
483,3,"While I generally support independent restaurants over chain places,I still don't buy into the overpriced center city Phila hype. The place was actually roomier than the south Philly closets we usually take my mother in law for her birthday,but the prices were jaw dropping...quite different from the online menu. The food and portions were ok,and the dessert was something different than the average places. The bus help was a bit out of sync with the waiter,as they were asking us if we were done with our plates just as the waiter was telling us the desserts,and as the Philly standard the bathroom was a bit small to accomodate the size of the place.",04-01-15 0:57,Dinardo's Famous Crabs,"American (Traditional), Food, Restaurants, Seafood",Philadelphia,PA,2.5,256,Neutral
484,3,The Tater-Tots were good but not anything I haven't  had before. Burger was satisfactory.  Quick stop for lunch.  Staff was helpful with providing directions to local attractions.,28-08-17 23:03,Burger Republic,"Bars, Restaurants, Sports Bars, Burgers, Pubs, Nightlife, Armenian, American (Traditional)",Nashville,TN,4,721,Neutral
485,1,"As a frequent customer who has come since the place opened, I had previously rated this place higher, based on a recent experience decided to downgrade.

Myself and both in-laws had visited, one of which was senior. Had a mail coupon for $5 off, which had no disclaimer.  I wanted to apply this to our party of three (2 adults, 1 senior). Cashier gave us a hard time stating that her management dictated that she wasn't allowed to apply the coupon if we were combining it with a senior discount. What logic is that? How would it be any different if I had paid for myself and my mother in law, applied the coupon. Then told my father in law, the senior, to pay on his own. Seriously, Retarded. 

This is on YOU management not that poor girl. Either for not creating a better customer experience or poorly training your staff.",13-05-17 15:16,Ichiban Buffet,"Restaurants, Buffets, Chinese, Japanese",Cherry Hill,NJ,2.5,48,Negative
486,5,"Our 1st visit here. We went through the drive thru & ordered 4 Chicago dogs. The total bill was $10.  The Chicago Dogs were great & the only place in a 28 mile radius that you can purchase one. The only 2 things missing were a poppyseed bun & celery salt. My last attempt for a Chicago dog locally was Sonic (yuck). SuperGyro uses 100% beef hot dogs, that neon green relish, sport peppers, onions, dill pickle tomatoes & onion. I'll be back for more & also to try the other menu items.",21-06-15 4:03,Super Gyros,"Fast Food, Greek, Italian, Restaurants",Belleville,IL,4.5,79,Positive
487,4,"Wawa is like a beacon in a cold, dark world.  I grew up around Sheetz locations, but I have to admit that I prefer Wawa.  The sandwiches are really good, and they have the typical snacks/drinks you would expect from a convenience store.  This particular location is not quite as friendly as the one I go to near the office, but whatever.  I can still walk out with all of my snacking requirements.",17-01-14 15:12,Wawa,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",Philadelphia,PA,3,56,Positive
488,3,I had chicken BBQ burritos with all kinds of stuff that I like. I love the it ! Good place to sit down with family & had a meal. I wish they had a place for kids to play that would be even better !,25-09-14 15:08,QDOBA Mexican Eats,"Mexican, Fast Food, Restaurants, Caterers, Event Planning & Services",Fenton,MO,2.5,30,Neutral
489,4,"Very impressed with this place, particularly the menu (amazing) and the food. We ordered the fruit bruschetta (yum, what an awesome idea!) and the Popeye skillet and the Roadhouse sw. Great food, creative options! Couple areas of critique: it was FREEZING (every woman had a sweater on in July) and lack of ambiance. The latter could be easily remedied with some decent background music, and better lighting? (Overhead office lighting is a drag, but large windows a plus) Customer service was good not great, tad disconnected...but it was a holiday weekend. Overall, a keeper. I'll def be back!",03-07-16 17:36,The Turning Point - Cherry Hill,"Breakfast & Brunch, Restaurants, American (Traditional), Food, Coffee & Tea",Cherry Hill,NJ,3.5,243,Positive
490,5,"I can't recall the day I went but it was a memorial resturant experience.  I was greeted by an incredibly nice cashier. After a hard decision I ordered a Devils delight and the girl giggled ( of course I was confused) She explained it was Dev's Delight and named after her because it was her idea for a burger and me calling it Devils delight was a bit funny because her friends call her Devil Dev ( hard to believe such a nice girl could aquire such a nickname but cute). After she took my thorough of a medium burger, and truffle fires i didn't have to wait very long. Even before I ate the burger the smell it self had my mouth watering.  The burger was cooked to perfection and what was on the burger was amazing!  This burger was a standard beef foundation with mozzarella cheese tomato basil and a portobello mushroom, what great idea for a burger! For a mushroom lover this with a side of the delicious truffle fries is perfect. Excellent quality and service,  a bit expensive but worth every penny. No question about it I will be a return customer!",25-09-14 17:51,500 Degrees,"Food, Burgers, Restaurants",Philadelphia,PA,3.5,443,Positive
491,5,"I was trying to find a decent place for dinner tonight for my moderately health conscious self when I came across this place. After figuring out what I wanted and put the Be My Bison burger in my cart for the online order, I realized it would be over a two mile round trip excursion from my job. Defeated, I started to search elsewhere but I could not get that burger off of my mind. I came back a few hours later and submit my order. I hiked it there and it just came out of the kitchen as I walked in.  I grabbed my burger and continued on my way back to work. O-M-G! Absolutely in love with this place. It has been quite the task to try and find healthy places that fit my diet but this is a dream come true! Thank You!",18-11-15 22:35,Bareburger - Midtown Village,"Restaurants, Burgers, American (New), Food, American (Traditional), Nightlife, Bars, Cocktail Bars, Salad",Philadelphia,PA,4,622,Positive
492,1,"this place was awful. the first time my mother and I went we were very excited because everyone had been talking about it and we want to support local business. The day we went it happened to be pouring raining. So we are standing there at the hostess stand cold and wet waiting to be seated. Not only was the hostess not there, no one even acknowledged that we were there. The bartender who was right next to he stand was on his blue tooth and only looked our way to flirt with me. My mom was so annoyed we just left. 

The second time we went was because we were going to be in the area and we decided to give it a second try. We were seated right away and the music was really good. The waiter could have cared less about our table. he acted like we were doing him a favor by even coming to the table. The menu was thin and nothing to really choose from. when he eventually brought the food it was decent. My mom hated her salmon cakes because they were overly breaded and poorly season. it honestly looked like two pieces of bread. 

It was overpriced for what we had. I WOULD NEVER RECOMMEND THIS PLACE. The take out makes great dog food though.",28-06-14 1:38,Sylvia's Queen of Soul Food,"Soul Food, Restaurants",St Petersburg,FL,3.5,132,Negative
493,4,Service was good. Mesquite wings are very good  best to share or save some don't be greedy like me and try.and go back to work. Only downside was the weak lemonade. It was the weakest I ever had.,16-08-17 17:56,Smiths Restaurant and Bar,"American (New), Bars, Nightlife, Lounges, Restaurants",Philadelphia,PA,3,225,Positive
494,5,"I don't know how I lucked out with having this taqueria in our neighborhood, but this is the best Mexican food you'll get in New Orleans.

We discovered Taqueria Guerrero after finding that burrito joint down the street was packed, had a line wrapping around the buidling (you know which one!).

After finding street parking near the mattress store, we plopped down and ordered the 3-taco plate (al pastor, mmmm) with beans and rice on the side and a burrito (barbocoa). I am a creature of habit and order the same tacos, but the bf has ventured out to get other dishes such as the fajita plate or the really spicy shrimp (camarones del diablo?). All very tasty.

The rest is history. It's embarrassing how often I suggest this place when we want to go out/get take out.",28-05-13 22:01,Taqueria Guerrero,"Mexican, Restaurants",New Orleans,LA,4,245,Positive
495,3,"Came here with a group of 15 people on a Tuesday night. We had reserved a space in advance. 
While the food was good, what was lacking was good service and cleanliness. We sat down at our table and it was sticky, and there was a dirty and also sticky fork still on it...so the assumption was that the table simply hadn't been wiped down all the way. Yuck. 
We ordered and the food took a fair amount of time, understandable because of such a large party. Problem was, when the food came out, no server knew what we'd individually ordered, so it became a huge mix up with people eating others' food. 
I ordered the pork belly tacos which had a great caramelization on the outside and tender inside. I also ordered the spicy beef pho, which was perfectly balanced with flavor after adding the accompanying bean sprouts and limes. 
The wait for the check and processing payment was long and arduous, a problem again because we had a Lyft driver waiting outside for us. 
All in all, go for the food, not for the service.",15-03-17 15:24,Mint Modern Vietnamese Bistro & Bar,"Bars, Restaurants, Food, Nightlife, Vietnamese, Bubble Tea",New Orleans,LA,4,403,Neutral
496,5,"I am so glad we had our wedding here!!! I cannot say enough what a pleasure it was to work with Breanna, the venue manager and Eli, the food and beverage director. Our wedding here was a destination wedding, so we were very concerned about making sure all of our family and friends that travelled a long way to get to our wedding had a good time. Being a couple straight out of grad school, we were also very concerned with keeping the cost manageable. Everything worked out on all accounts! 

We first picked the venue for two reasons: the price was right and the venue is GORGEOUS. The pricing was very straightforward, which we really appreciated, and when looking at other options in the Santa Barbara area, the Riviera mansion was pretty comparable with other venues which are not all inclusive (ones where you have to find your own caterer, rent linens, etc etc). Planning a wedding without a coordinator and from across the country, it was also definitely worth it for us to go with a venue that minimized the amount of details we would have to think about.

The looks and layout of the place are what sold us though. With people coming from the east coast and middle of the country, we wanted something that would really showcase Santa Barbara's cool architecture and vibe. The mansion is exactly that.  The layout is also pretty perfect for a multigenerational wedding. We were able to enjoy the California weather for our ceremony and cocktail hour outside, then go inside for dinner, avoiding the cooler night air. Later, we could turn up the party in the bar/dance floor area, while the older folks talked and relaxed on the couches in the living room. It really has something for everyone.

What I didn't realize when we picked it was how absolutely awesome all the staff would be to work with. Breanna was super helpful, answering all my questions promptly and pleasantly, and accommodating my sometimes short notice visits to the area. When we did our walkthrough a couple of days before the wedding, Breanna and Eli paid attention to every detail and made sure we were taken care of, as they did the day of the wedding too. Eli was incredibly attentive and easy to work with! My dad is in the restaurant industry and was in charge of setting up desserts (we had family make some traditional desserts, as well as got some cupcakes from Enjoy Cupcakes- also a great idea!). Eli worked with him to get whatever he needed, risers, tablecloths, etc and was really sweet about it. 

The attention to bartending at the Riviera Mansion deserves a paragraph of its own. Breanna worked with me and the bartender (who's name I forget but has worked there for 20 years and is also incredibly awesome) to create a peach moscow mule as our signature drink (our colors were peach and green) and get it to taste just right. She even arranged it so we had fresh peaches! At the wedding, everyone raved about them, even guests who usually prefer something more manly sounding. The staff had all drinks ready to go for our cocktail hour, and also passed trays of drinks, so there was never a line at the bar (something guests also specifically mentioned that they appreciated). Hell, Eli even followed me with my drink for a couple of minutes around dinner since my hands were full of other things! Really spectacular and attentive service.

Five stars all around. It was absolutely a joy to have our wedding here.",20-12-15 21:47,University Club of Santa Barbara,"Restaurants, Event Planning & Services, Party & Event Planning, Food, Venues & Event Spaces, Arts & Entertainment, Social Clubs, Specialty Food",Santa Barbara,CA,5,76,Positive
497,5,"Dave was very nice and explained the menu, the dogs were whipped up fast and were delicious, hit the spot. Dave's special, pizza dog and a custom creation were all excellent and he threw in some grilled jalapeños too. Santa Barbara desperately needs more late night food carts like this.",17-01-16 6:59,Daves Dogs - Cart,"Food Stands, Food, Hot Dogs, Street Vendors, Restaurants",Santa Barbara,CA,5,156,Positive
498,1,"First time at Wolfgang. Crowded, dirty floors, poor service, it has it all. Only redeeming factor was the excellent crisp Chardonnay.",05-11-15 22:58,Wolfgang Puck Express,"Breakfast & Brunch, American (New), Salad, Restaurants",Indianapolis,IN,2,70,Negative
499,5,"Yeah, I know what you're thinking. One Wawa store is pretty much the same as another, so why even bother writing a review? But I think we have a winner here.

When this Wawa store opened for business, gas prices at gas stations all along Concord Pike fell by 30 cents per gallon just to compete with them. Sure, this Wawa store could've followed the general pricing in the area and lowered prices just a few cents, keeping the bulk of the profit. But no, they'll have none of that. I love a store that is on the side of my wallet!

Secondly, I love the automatic start/stop digital air pump. So far, I've only seen that at BJ's Wholesale and Sheetz. It's a snap to use and I get the exact tire pressure every time.

As for service, they seem nice and relatively efficient. The internal layout of the store is the new style that I first saw in Newark. Having separate non-cigarette cashier lines may speed things up in peak periods, although I've never been there during the day, so I wouldn't know.",07-12-13 1:28,Wawa,"Delis, Food, Automotive, Car Dealers, Restaurants, Convenience Stores, Coffee & Tea, Gas Stations, Sandwiches",Talleyville,DE,4,11,Positive
500,1,"Mediocre food. very slow service , our food came one by one Within 10 to 15 minutes of each other. Rude servers and took us a long time to get our bills with lots of mistakes. Overall very bad experience",04-12-16 5:57,Penca,"Mexican, Restaurants, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services",Tucson,AZ,3.5,486,Negative
501,3,"For a seafood restaurant at the edge of pear expectations should be set high. My wife and I have come here 3 times now and ordered different plates off the menu each time. This last time we ordered cioppino, clam chowder, and a crab salad sandwich;
*Good - clam chowder (excellent flavor and consistency) would order again.
*Not great - cioppino (lacked flavor & a variety of sea food/lack there of) would not order again
*Pass - crab salad sandwich (lacked flavor, mayo was overpowering, crab flavor was almost non-existent, side of onion rings too greasy) - would not order again 
The overall experience is okay, better if seated outside right on the pear overlooking the ocean, inside is very small. Service is good but be prepared to wait a bit to be seated. 
Is it worth a visit? Yes, but be selective of what you order as the menu tends to be a hit and miss.",14-07-16 20:15,Santa Barbara Shellfish Company,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",Santa Barbara,CA,4,2404,Neutral
502,4,"Chef Kevin Sbraga knows fried chicken. My first exposure to his succulent birds was the hot chicken at The Fat Ham. Lo and behold, his lavender honey fried chicken tops its spicy cousin. The chicken is brined in buttermilk, dredged in seasoned flour and sits for ten minutes. It's then coated with a second round of flour and dropped into the fryer. The chicken (breast, wing, thigh, drumstick) is drizzled with lavender honey and sprinkled with salt and ground pink peppercorns. It comes with a buttermilk biscuit, whipped honey-thyme butter, and red bliss potato salad. It is some of the best fried chicken I've eaten in a long time. Crunchy, crispy coating on the outside with a juicy, moist inside. The sweet honey glaze is truly outstanding and finger lickin' good. The biscuit is awesome. I would definitely order this dish again and again. I got the salty but delicious fried smelts with chili pepper aioli as an appetizer. My friend Chris W got the filet mignon and butter poached king crab surf and turf. For dessert, I had a slice of salted pecan pie and he had the ice cream sundae. Every dish at Juniper Commons was top-notch. Chef Sbraga does it again!",28-04-15 19:43,Juniper Commons,"American (Traditional), Breakfast & Brunch, Restaurants, Diners",Philadelphia,PA,3.5,63,Positive
503,1,"I really wanted to like Casselli's, but it wasn't in the cards. Maybe I just caught them on a bad night, but I didn't really enjoy much about my visit. The waiter was very unpleasant - was banging down the plates and glasses on the table when he delivered them. Maybe he was having a bad day, but I still would have expected better. 

We had mixed experiences with the food. Mine and our friends' was OK, but my wife's baked ravioli would have been more use to a hockey team for use as pucks. They were really overdone - woefully overdone. 

The worst part was that our table was next to the opera singer guy. He was singing extremely loudly and it was nigh impossible to maintain a conversation - especially coupled with how close we were to the table next to us and their attempts to speak over Opera Guy.

Part of me wants to give them another chance (since I hate writing bad reviews) and the other part is annoyed over the waiter's attitude. I probably will not go back. There are so many good Italian restaurants worth visiting that the opportunity cost of returning to Casselli's seems too high.

On the upside, they have somewhat convenient parking in the lot behind the restaurant (near the Shawmont School).

Note: cash-only.",02-03-09 2:05,Casselli's Ristorante,"Restaurants, Italian",Philadelphia,PA,3.5,39,Negative
504,4,"I've only been to their casino and I love that its only an hour away from Orlando yet it feels so far. The atmosphere is typical of most casinos with the exception of over priced burgers and fries at the Hard Rock Cafe. 

I had some luck on the Breakfast at Tiffany's slot machine and as a lover of the movie, it was a fun one to play.",08-10-12 19:34,Seminole Hard Rock Hotel & Casino Tampa,"Food, Hotels, Coffee & Tea, Hotels & Travel, Restaurants, Casinos, Burgers, Bars, Nightlife, Arts & Entertainment, Event Planning & Services",Tampa,FL,2.5,739,Positive
505,5,"Tasty brunch, extremely friendly staff, great cocktails, and cute and comfy design. I love having a lesbian bar in the neighborhood. I will be returning with my mom for Mothers' Day. I'm so happy this place exists.",07-05-16 6:33,Lilly's Music & Social House,"Music Venues, American (New), Restaurants, Nightlife, Arts & Entertainment, Pizza",Saint Louis,MO,4.5,15,Positive
506,1,"I will not return to this location. I contacted the manager in regards to a poorly made pizza I received, he replied to my online inquiry but never followed through on taking care of things. I even sent a photo to prove that the appearance of the pizza was not acceptable, and I never heard back from him.",28-05-18 20:34,Papa John's Pizza,"Pizza, Restaurants",Palm Harbor,FL,3,18,Negative
507,4,Came to see my son's band Last Frontier. The staff and food here is top notch!   Had the porkbelly and fish nachos.  Awesome.  Great selection of whisky. Great sound system for the band.,12-02-16 2:26,Bourbon & Branch,"Bars, American (Traditional), Breakfast & Brunch, Music Venues, Arts & Entertainment, Nightlife, Restaurants",Philadelphia,PA,4,392,Positive
508,5,"The food was great, the service excellent.  Had dinner outside on the deck, saw lots of dolphins.  Will come back for sure.",21-06-15 1:54,Sculley's Waterfront Restaurant,"Seafood, Bars, Restaurants, Nightlife, Cocktail Bars, Mexican",Madeira Beach,FL,2.5,355,Positive
509,5,Great service and awesome food!!!! We go here all the time. Each time it is excellent! Very very Stellar,27-01-17 23:10,Gateway To India,"Food, Imported Food, Specialty Food, Indian, Restaurants, Ethnic Food, Buffets",St. Petersburg,FL,4,393,Positive
